Book, Chapter, Verse, Text
"JUD","1","15","ताकि सो सबी मणु रा न्याय करा, अतै तिन्या अधर्मी मणु जो दोषी ठहरा जिन्यै सब बुरै अतै पापी कमा जो करूरा थू अतै जिन्यै प्रमात्मैं रै बारै मन्ज अपमान भरी गल्ला बलुरी थी।”"
"JUD","1","16","ऐह अधर्मी मणु सदा कुड़कुड़ करदै रैहन्दै हिन, अतै तिन्या सोगी जैड़ा कुछ भून्दा सो तैत तांये प्रमात्मैं जो दोषी ठहरान्दै हिन। सो अपणी इच्छा अनुसार बुरै कमा जो करदै हिन अतै अपणै आपा रा घमण्ड़ करदै हिन। सो दूये री तरीफ करनै रा ढोंग करदै हिन ताकि सो तिन्या थऊँ सो पाई सकन जैड़ा सो चाहन्दै हिन।"
"JUD","1","17","पर मेरै प्यारे विस्वासी भाईओ, तुसै तियां गल्ला जो याद रखा, जिआं जो इन्दै प्रभु यीशु मसीह रै प्रेरित पैहलै ही बल्ली चुकुरै हिन।"
"JUD","1","18","सो तुसु सितै बल्लू करदै थियै कि, “इन्दै प्रभु यीशु मसीह रै दोवारा इणै थऊँ पैहलै ऐसै मणु भूणै हिन जिन्या प्रभु रा अतै प्रभु रै मणु रा अपमान करना। ऐह ऐसै मणु भूणै जंयारी जिन्दगी तंयारी अभिलाषा रै वशा मन्ज भूणी हा।”"
"JUD","1","19","ऐह ऐसै मणु हिन जैड़ै अपणी शरीरिक इच्छा रै अनुसार चलदै हिन अतै तिन्या मन्ज पवित्र आत्मा निय्आ।"
"JUD","1","20","मेरै प्यारे विस्वासी भाईओ तुहै अक्की दूये जो अति पवित्र विस्वास मन्ज उन्‍नति करनै तांये मदद करा। तुसिओ ऐसी प्रार्थना करना चहिन्दी जैड़ी पवित्र आत्मा री अगुवाई रै अनुसार भोआ।"
"JUD","1","21","प्रभु यीशु मसीह रै दोवारा इणै तक अपणै आपा जो प्रमात्मैं रै प्रेम मन्ज बणाई रखा ताकि तुसिओ अनन्त जिन्दगी मुळी सका जठेरी तुहै भाळ करू करदै हिन क्ओकि तिनी असु पुर दया करूरी हा।"
"JUD","1","22","जिन्या मणु जो ना पता कि कसा शिक्षा पुर विस्वास करना चहिन्दा तंयारी मदद करा।"
"JUD","1","23","जैतना भूच्ची सकदा हा तिन्या मणु जो जैड़ै नरक री अगी री कनारी चलुरै हिन झपटी करी बचाई लेय्आ अतै तियां पुर दया करा। सावधान रेय्आ कि तुहै भी तिन्या पापा जो ना करन, तुहै तंयारै पापा थऊँ नफरत करा जैड़ै तिन्या जो कलंकित करदै हिन।"
"JUD","1","24","प्रमात्मां तुसिओ बचाई सकदा कि तुहै तैस पापी जिन्दगी रै द्धारा धोखै मन्ज ना पैन अतै सो अपणी महिमामय हजुरी मन्ज तुसिओ निर्दोष बणाई करी खुशी सोगी खरेडी सकदा हा।"
"JUD","1","25","सो ही एकमात्र प्रमात्मां हा जिनी असिओ यीशु मसीह रै कमा रै द्धारा बचाऊ हा। तैस अक्कमात्र प्रमात्मैं तांये, इन्दै उद्धारकर्ता यीशु मसीह री महिमा, गौरव, पराक्रम अतै अधिकार सदा काल थऊँ हा, अबै भी भोआ अतै युगा-युगा तक भून्दा रेय्आ। आमीन।"
